DOG,James,M,20160228-110120
DOG,Jeffrey,F,20151007-154355
DOG,Kevin,M,20160207-025752
DOG,Anne,M,20160113-091528
DOG,John,M,20160115-165806
DOG,Maria,F,20150712-233657
DOG,Robert,F,20160520-202341
CAT,Stephen,F,20151209-050129
DOG,David,F,20151102-170558
DOG,Harry,M,20151120-053644
DOG,Dennis,F,20160101-064503
CAT,Clarence,F,20160222-092614
DOG,Jesse,F,20160123-170703
CAT,Ashley,F,20160327-161821
DOG,Evelyn,F,20151125-193314
DOG,Jeffrey,F,20151127-184255
CAT,Jerry,M,20160401-104840
CAT,Lisa,F,20150611-051035
CAT,Patricia,F,20150809-000510
CAT,Ruby,M,20160412-161834
DOG,Billy,M,20160308-173626
DOG,Joe,F,20151225-090112
DOG,Andrew,F,20160421-072421
CAT,Gary,F,20160327-010853
DOG,Antonio,M,20150721-081142
DOG,Terry,M,20151105-005428
DOG,Lawrence,F,20150626-025243
CAT,Andrew,F,20151124-002302
CAT,Donna,M,20151016-101104
CAT,Brandon,F,20151123-080523
CAT,Nicholas,M,20151013-103323
CAT,Bonnie,F,20150627-223606
DOG,Nicole,M,20160317-141605
CAT,Russell,F,20151013-041430
DOG,Joan,F,20150723-014024
DOG,Andrea,F,20150627-005857
DOG,Carolyn,M,20160309-103543
DOG,Ruby,M,20150712-215729
DOG,Frank,F,20160304-143625
CAT,Donald,F,20160608-004939
CAT,Kathleen,M,20150712-214100
DOG,Ruby,M,20151018-100224
DOG,Billy,M,20160118-133322
CAT,Dorothy,M,20150829-130752
CAT,Arthur,F,20150817-015902
CAT,Marie,F,20160125-073026
CAT,Bruce,M,20151009-172008
DOG,Alan,F,20151223-005936
DOG,Linda,M,20150812-163316
CAT,Anthony,F,20150809-195955
CAT,Beverly,F,20150625-201346
CAT,Brandon,M,20151204-005816
DOG,Ruth,M,20150917-214243
DOG,Tina,M,20160414-032210
CAT,Keith,M,20151203-222022
CAT,John,M,20160327-080113
CAT,Brandon,M,20150829-163156
DOG,Fred,F,20151009-013509
DOG,Jack,M,20150812-140144
DOG,Bonnie,F,20150726-061814
DOG,Justin,F,20160408-085921
CAT,Ruby,M,20160202-050630
CAT,Mark,M,20160507-213333
DOG,Louis,F,20150724-083809
CAT,Ruby,M,20160225-182158
CAT,Chris,F,20160410-115216
CAT,Karen,F,20150704-020800
DOG,Victor,F,20160301-183314
DOG,Jack,F,20160507-161456
DOG,Clarence,M,20150613-184451
DOG,Gary,M,20150825-023641
DOG,Scott,F,20151015-045802
DOG,Joyce,F,20160321-054428
DOG,Harold,F,20150624-031816
CAT,Phillip,M,20150806-151548
DOG,Stephanie,M,20151004-105443
CAT,Jessica,M,20160212-080521
DOG,Carl,M,20150621-183644
CAT,Phyllis,M,20160319-234959
DOG,Annie,F,20151123-121945
DOG,Cheryl,M,20151219-042214
DOG,Roy,F,20151125-182609
CAT,Andrew,M,20150806-224437
DOG,Aaron,F,20160310-070530
DOG,Jeffrey,F,20160203-182244
CAT,Frances,F,20150902-043206
DOG,Rose,M,20150819-085439
CAT,Cheryl,M,20150616-225628
DOG,Keith,F,20160224-043411
CAT,Betty,F,20160126-023530
DOG,Eugene,M,20160111-134952
CAT,Sharon,F,20150918-200640
CAT,Tina,M,20151107-151342
DOG,Justin,F,20160410-232112
CAT,Nancy,M,20160108-064147
CAT,Benjamin,F,20160511-102008
CAT,Scott,F,20151030-050552
DOG,Carl,M,20150725-210657
CAT,Shawn,F,20150824-003955
CAT,Sean,M,20160207-003202
DOG,Frances,F,20151114-001417
CAT,Tina,M,20160104-122738
DOG,Marilyn,F,20160206-183020
CAT,Pamela,M,20151015-063550
CAT,Joyce,M,20160412-090256
CAT,Barbara,M,20160224-170326
CAT,Peter,M,20150911-142824
CAT,Carolyn,M,20151218-212406
CAT,Steve,M,20160131-004722
DOG,Denise,F,20151209-014107
CAT,Martha,M,20160320-193649
CAT,Stephanie,M,20160518-121100
CAT,Janet,M,20160415-084316
DOG,Shirley,M,20151209-114629
CAT,Sharon,M,20160407-065003
CAT,Ann,F,20160307-071549
DOG,Frank,F,20150909-075033
DOG,Lawrence,M,20160124-060047
